title,label_score
"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut",0
Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi,0
Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda,1
"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua",0
MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana,0
"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam",0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu",0
HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang,0
"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?",1
JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika,0
Pesan Gamblang Poyuono Menolak Revisi UU KPK,1
Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp,0
Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang,0
"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan",0
Pengacara Ajukan Penangguhan Penahanan Kivlan Zen,0
Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim,0
"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery",0
JK Jenguk Habibie di RSPAD Gatot Soebroto,0
"Sebuah Mobil Tertimpa Pohon di Pondok Indah, Pengemudi Terluka",0
Demokrat Akan Bangun Museum dan Art Gallery SBY-Ani di Pacitan,0
Mendagri Jamin Pelaksanaan UU Otsus di Papua Dilanjutkan,0
"Tegaskan Dukung Pemerintah, PD: Kami Tak Pernah Kenal Oposisi",0
"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar",0
"Mayat Pria Ditemukan di Kalimalang Bekasi, Diduga Korban Tenggelam",0
"Pesan Anak Habibie ke Penjenguk: Mohon Dimengerti, Bapak Perlu Istirahat",0
KPK Curhat Pencegahan Korupsi Tak Dianggap: Banyak Uang Negara Diselamatkan,0
ACT Inisiasi Gerakan Nasional #IndonesiaDermawan,0
Demokrat Dukung Langkah Jokowi Bangun Istana di Papua,0
Menkum HAM Sudah Kaji Draf Revisi UU KPK,0
MPR Gelar Diskusi Evaluasi Pelaksanaan UUD di Yogyakarta,0
Kocak! Maling di Rumah Mewah Jakut Terekam CCTV Bingung Cari Jalan Kabur,1
KPK Tanggapi DPR: Penegakan Hukum Tak Boleh Terikat Komitmen Politik,0
Pengacara Sebut Dakwaan Kivlan Zen Dipaksakan,0
Polisi Belanda Tembak Mati Istri dan 2 Putrinya Lalu Bunuh Diri,0
6 Perampok Bersebo Tembak Warga hingga Tewas di Sumsel,0
"Tepis Jadi Penyebab Tunggal Kabut Asap, RI Akan Surati Malaysia",0
"Jokowi Diminta Mekarkan Wilayah Papua, JK: Ada Undang-undangnya",0
"Viral Video Diduga Baku Tembak di Sleman, Ini Kata Polisi",1
Kadis PU dan 2 PNS Kabupaten Mandailing Natal Ditahan Kejati Sumut,0
"Banding Ditolak, Hak Politik Eks Bupati Katingan Dicabut Hakim",0
"Kecelakaan Beruntun 4 Kendaraan di Lenteng Agung, 2 Pemotor Luka-luka",0
"KPK Bongkar Mafia Migas: Transaksi Lintas Negara, Tak Mudah Diungkap",0
"Diawasi di Hong Kong, Aktivis Joshua Wong Terbang ke Berlin",0
Anggota DPRD Surabaya Gadaikan SK Sebagai Jaminan untuk Potong Gaji,0
Ical Jenguk BJ Habibie di RSPAD: Kita Doakan yang Terbaik,0
175 Orang dan 4 Korporasi Jadi Tersangka Karhutla di Sumatera-Kalimantan,0
Fenomena Gadai SK Anggota Dewan Juga Terjadi di DPRD Serang,0
Akademisi dan Mahasiswa Unair Tolak Revisi UU KPK,0
"Pegawai KPK Surati Fraksi di DPR, Minta Tak Pilih Capim yang Lemahkan KPK",0
"Waspada! Ada Penipuan Catut Pertamina, Korbannya Rugi Puluhan Juta",1
Ekoturisme: Pelajaran Besar dari Negara Kecil,0
